arm,run,file,category,credit_id,credit_name,max_points,applicability,estimated_level,estimated_points,justification,questions_summary,level_guide_reference,concept_phase_actions,documentation_needed,input_tokens,output_tokens,elapsed_seconds,valid_json,truncated,success
rag,1,00_sample_project,Leadership,LD3.3,Conduct a Life-Cycle Assessment,10,Applicable,No Level,0,The project requires a life-cycle assessment to ensure sustainability and minimize environmental impacts.,QA:Insufficient Data | QB:Insufficient Data,"A + B required for Improved, but neither is satisfied",Conduct a life-cycle assessment,Life-cycle assessment report; Environmental impact analysis,17191,1983,425.39,True,False,True
rag,1,00_sample_project,Natural World,NW1.1,Conserve Natural Areas,14,Applicable,Improved,2,"The project is located in an area with potential natural habitats and ecosystems, as indicated by the presence of a point cloud file (Brownsville.rcp) and site plans.",QA:Insufficient Data(No information on natural areas conservation) | QB:Insufficient Data(No information on habitat restoration or enhancement),A + B required for Enhanced,Conduct site analysis to identify natural areas; Develop conservation plan,Site analysis report; Conservation plan,17916,1347,304.75,True,False,True
rag,1,00_sample_project,Natural World,NW1.2,Provide Wetland and Surface Water Buffers,10,Applicable,Improved,1,"The project is located near a floodplain, as indicated by the site plans and GIS coordinates.",QA:Insufficient Data(No information on wetland or surface water buffers) | QB:Insufficient Data(No information on buffer zone maintenance),A + B required for Enhanced,Conduct wetland and surface water assessment; Develop buffer zone plan,Wetland and surface water assessment report; Buffer zone plan,17916,1347,304.75,True,False,True
rag,1,00_sample_project,Natural World,NW2.2,Manage Stormwater,24,Applicable,Improved,2,"The project is located in an area with potential stormwater runoff, as indicated by the site plans and GIS coordinates.",QA:Insufficient Data(No information on stormwater management) | QB:Insufficient Data(No information on rate or quantity of runoff),A + B required for Enhanced,Conduct stormwater assessment; Develop stormwater management plan,Stormwater assessment report; Stormwater management plan,17916,1347,304.75,True,False,True
rag,1,00_sample_project,Natural World,NW2.4,Protect Surface and Groundwater Quality,14,Applicable,Improved,1,"The project is located in an area with potential surface and groundwater resources, as indicated by the site plans and GIS coordinates.",QA:Insufficient Data(No information on surface and groundwater protection) | QB:Insufficient Data(No information on pollution prevention measures),A + B required for Enhanced,Conduct surface and groundwater assessment; Develop protection plan,Surface and groundwater assessment report; Protection plan,17916,1347,304.75,True,False,True
rag,1,00_sample_project,Natural World,NW3.3,Maintain Floodplain Functions,14,Applicable,Improved,1,"The project is located in a floodplain, as indicated by the site plans and GIS coordinates.",QA:Insufficient Data(No information on floodplain functions) | QB:Insufficient Data(No information on vegetated zones preservation),A + B required for Enhanced,Conduct floodplain assessment; Develop preservation plan,Floodplain assessment report; Preservation plan,17916,1347,304.75,True,False,True
rag,1,00_sample_project,Natural World,NW3.5,Protect Soil Health,10,Applicable,Improved,1,"The project involves earthwork and soil disturbance, as indicated by the site plans and construction documents.",QA:Insufficient Data(No information on soil health protection) | QB:Insufficient Data(No information on erosion control measures),A + B required for Enhanced,Conduct soil health assessment; Develop protection plan,Soil health assessment report; Protection plan,17916,1347,304.75,True,False,True
rag,1,00_sample_project,Quality Of Life,QL1.1,Improve Community Quality of Life,26,Applicable,Improved,5,"The project is a mixed-use development with residential, commercial, and community spaces, indicating potential for community quality of life impacts.",QA:Likely Yes(Project includes live/work units and community spaces.) | QB:Insufficient Data(Lack of information on community engagement and feedback mechanisms.) | QC:Likely Yes(Project incorporates green spaces and outdoor areas.) | QD:Insufficient Data(Lack of information on accessibility features and universal design principles.),A + B,Conduct community outreach and engagement to inform project design.; Incorporate accessible and universal design principles into building design.,Community engagement records; Accessibility features and universal design principles documentation,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL1.2,Enhance Public Health & Safety,20,Applicable,Improved,7,"The project includes residential and commercial spaces, indicating potential public health and safety impacts.",QA:Likely Yes(Project incorporates natural ventilation and daylighting strategies.) | QB:Insufficient Data(Lack of information on indoor air quality monitoring and maintenance protocols.) | QC:Likely Yes(Project includes emergency response plan and fire suppression systems.),A + B,Develop indoor air quality monitoring and maintenance protocols.; Incorporate public health and safety considerations into project design.,Indoor air quality monitoring and maintenance protocols; Public health and safety considerations documentation,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL1.3,Improve Construction Safety,14,Applicable,Improved,5,"The project involves construction activities, indicating potential construction safety impacts.",QA:Likely Yes(Project includes construction safety plan and training programs.) | QB:Insufficient Data(Lack of information on site-specific hazard assessments and mitigation strategie),A + B,Conduct site-specific hazard assessments and develop mitigation strategies.; Incorporate construction safety considerations into project design.,Construction safety plan and training programs; Site-specific hazard assessments and mitigation strategies documentation,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL1.4,Minimize Noise & Vibration,12,Applicable,Improved,3,"The project includes residential and commercial spaces, indicating potential noise and vibration impacts.",QA:Likely Yes(Project incorporates sound-absorbing materials and acoustic design strategies.) | QB:Insufficient Data(Lack of information on vibration mitigation measures and monitoring protocols.),A + B,Develop vibration mitigation measures and monitoring protocols.; Incorporate noise and vibration considerations into project design.,Sound-absorbing materials and acoustic design strategies documentation; Vibration mitigation measures and monitoring protocols,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL1.5,Minimize Light Pollution,12,Applicable,Improved,3,"The project includes exterior lighting, indicating potential light pollution impacts.",QA:Likely Yes(Project incorporates energy-efficient and shielded lighting fixtures.) | QB:Insufficient Data(Lack of information on lighting controls and scheduling protocols.),A + B,Develop lighting controls and scheduling protocols.; Incorporate light pollution considerations into project design.,Energy-efficient and shielded lighting fixtures documentation; Lighting controls and scheduling protocols,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL1.6,Minimize Construction Impacts,8,Applicable,Improved,2,"The project involves construction activities, indicating potential construction impacts.",QA:Likely Yes(Project includes construction waste management plan and recycling programs.) | QB:Insufficient Data(Lack of information on site-specific construction impact assessments and mitigat),A + B,Conduct site-specific construction impact assessments and develop mitigation strategies.; Incorporate construction impact considerations into project design.,Construction waste management plan and recycling programs; Site-specific construction impact assessments and mitigation strategies documentation,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL2.1,Improve Community Mobility,14,Applicable,Improved,7,"The project includes residential and commercial spaces, indicating potential community mobility impacts.",QA:Likely Yes(Project incorporates pedestrian-friendly design and accessible transportation op) | QB:Insufficient Data(Lack of information on public transportation access and bikeability features.),A + B,Develop public transportation access and bikeability features.; Incorporate community mobility considerations into project design.,Pedestrian-friendly design and accessible transportation options documentation; Public transportation access and bikeability features,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL2.2,Encourage Sustainable Transportation,16,Applicable,Improved,5,"The project includes parking and transportation infrastructure, indicating potential sustainable transportation impacts.",QA:Likely Yes(Project incorporates electric vehicle charging stations and car-sharing programs) | QB:Insufficient Data(Lack of information on alternative transportation modes and incentives for susta),A + B,Develop alternative transportation modes and incentives for sustainable transportation.; Incorporate sustainable transportation considerations into project design.,Electric vehicle charging stations and car-sharing programs documentation; Alternative transportation modes and incentives for sustainable transportation,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL2.3,Improve Access & Wayfinding,14,Applicable,Improved,9,"The project includes public spaces and navigation systems, indicating potential access and wayfinding impacts.",QA:Likely Yes(Project incorporates clear signage and accessible navigation systems.) | QB:Insufficient Data(Lack of information on audio descriptions and tactile signage for visually impai),A + B,Develop audio descriptions and tactile signage for visually impaired users.; Incorporate access and wayfinding considerations into project design.,Clear signage and accessible navigation systems documentation; Audio descriptions and tactile signage for visually impaired users,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL3.1,Advance Equity & Social Justice,18,Applicable,Improved,6,"The project includes community spaces and social programs, indicating potential equity and social justice impacts.",QA:Likely Yes(Project incorporates community engagement and participatory design processes.) | QB:Insufficient Data(Lack of information on social impact assessments and mitigation strategies.),A + B,Conduct social impact assessments and develop mitigation strategies.; Incorporate equity and social justice considerations into project design.,Community engagement and participatory design processes documentation; Social impact assessments and mitigation strategies,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL3.2,Preserve Historic & Cultural Resources,18,Applicable,Improved,2,"The project includes historic and cultural resources, indicating potential preservation impacts.",QA:Likely Yes(Project incorporates historic preservation and cultural resource management plan) | QB:Insufficient Data(Lack of information on community outreach and engagement with stakeholders.),A + B,Develop community outreach and engagement strategies with stakeholders.; Incorporate historic preservation and cultural resource management considerations into project design.,Historic preservation and cultural resource management plans; Community outreach and engagement strategies with stakeholders,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Quality Of Life,QL3.3,Enhance Views & Local Character,14,Applicable,Improved,3,"The project includes public spaces and views, indicating potential view and local character impacts.",QA:Likely Yes(Project incorporates view preservation and enhancement strategies.) | QB:Insufficient Data(Lack of information on local character assessments and mitigation strategies.),A + B,Conduct local character assessments and develop mitigation strategies.; Incorporate view preservation and enhancement considerations into project design.,View preservation and enhancement strategies documentation; Local character assessments and mitigation strategies,17220,2930,622.03,True,False,True
rag,1,00_sample_project,Resource Allocation,RA1.1,Reduce Materials Use,12,Applicable,No Level,0,,QA:Insufficient Data(No material takeoff or bill of quantities in the model) | QB:Insufficient Data(No information on recycled content or sustainable materials),A + B required for Improved,Develop a material takeoff and bill of quantities; Research sustainable materials and recycled content options,Material takeoff and bill of quantities; Sustainable materials and recycled content research,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA1.2,Use Recycled Materials,10,Applicable,No Level,0,,QA:Insufficient Data(No information on recycled materials used in the project) | QB:Insufficient Data(No documentation of recycled material quantities),A + B required for Improved,Research recycled material options; Develop a plan for incorporating recycled materials into the project,Recycled material research; Plan for incorporating recycled materials,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA1.3,Reduce Operational Waste,8,Applicable,No Level,0,,QA:Insufficient Data(No information on operational waste reduction strategies) | QB:Insufficient Data(No documentation of waste reduction goals or targets),A + B required for Improved,Develop a plan for reducing operational waste; Research waste reduction strategies and technologies,Operational waste reduction plan; Waste reduction goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA1.4,Reduce Construction Waste,10,Applicable,No Level,0,,QA:Insufficient Data(No information on construction waste reduction strategies) | QB:Insufficient Data(No documentation of waste reduction goals or targets),A + B required for Improved,Develop a plan for reducing construction waste; Research waste reduction strategies and technologies,Construction waste reduction plan; Waste reduction goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA1.5,Balance Earthwork On Site,6,Applicable,No Level,0,,QA:Insufficient Data(No information on earthwork balancing strategies) | QB:Insufficient Data(No documentation of earthwork balancing goals or targets),A + B required for Improved,Develop a plan for balancing earthwork on site; Research earthwork balancing strategies and technologies,Earthwork balancing plan; Earthwork balancing goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA2.1,Reduce Operational Energy Consumption,20,Applicable,No Level,0,,QA:Insufficient Data(No information on operational energy consumption reduction strategies) | QB:Insufficient Data(No documentation of energy reduction goals or targets),A + B required for Improved,Develop a plan for reducing operational energy consumption; Research energy reduction strategies and technologies,Operational energy consumption reduction plan; Energy reduction goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA2.2,Reduce Construction Energy Consumption,12,Applicable,No Level,0,,QA:Insufficient Data(No information on construction energy consumption reduction strategies) | QB:Insufficient Data(No documentation of energy reduction goals or targets),A + B required for Improved,Develop a plan for reducing construction energy consumption; Research energy reduction strategies and technologies,Construction energy consumption reduction plan; Energy reduction goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA2.3,Use Renewable Energy,10,Applicable,No Level,0,,QA:Insufficient Data(No information on renewable energy sources) | QB:Insufficient Data(No documentation of renewable energy goals or targets),A + B required for Improved,Research renewable energy sources; Develop a plan for incorporating renewable energy into the project,Renewable energy research; Plan for incorporating renewable energy,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA2.4,Commission and Monitor Energy Systems,8,Applicable,No Level,0,,QA:Insufficient Data(No information on energy system commissioning and monitoring) | QB:Insufficient Data(No documentation of energy system performance goals or targets),A + B required for Improved,Develop a plan for commissioning and monitoring energy systems; Research energy system performance metrics,Energy system commissioning and monitoring plan; Energy system performance goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA3.1,Preserve Water Resources,14,Applicable,No Level,0,,QA:Insufficient Data(No information on water conservation strategies) | QB:Insufficient Data(No documentation of water reduction goals or targets),A + B required for Improved,Develop a plan for preserving water resources; Research water conservation strategies and technologies,Water preservation plan; Water reduction goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA3.2,Reduce Operational Water Consumption,12,Applicable,No Level,0,,QA:Insufficient Data(No information on operational water consumption reduction strategies) | QB:Insufficient Data(No documentation of water reduction goals or targets),A + B required for Improved,Develop a plan for reducing operational water consumption; Research water reduction strategies and technologies,Operational water consumption reduction plan; Water reduction goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA3.3,Reduce Construction Water Consumption,10,Applicable,No Level,0,,QA:Insufficient Data(No information on construction water consumption reduction strategies) | QB:Insufficient Data(No documentation of water reduction goals or targets),A + B required for Improved,Develop a plan for reducing construction water consumption; Research water reduction strategies and technologies,Construction water consumption reduction plan; Water reduction goals or targets,17210,2644,565.04,True,False,True
rag,1,00_sample_project,Resource Allocation,RA3.4,Monitor Water Systems,8,Applicable,No Level,0,,QA:Insufficient Data(No information on water system monitoring) | QB:Insufficient Data(No documentation of water system performance goals or targets),A + B required for Improved,Develop a plan for monitoring water systems; Research water system performance metrics,Water system monitoring plan; Water system performance goals or targets,17210,2644,565.04,True,False,True
rag,2,00_sample_project,Climate And Resilience,CR2.1,Avoid Unsuitable Development,14,Applicable,No Level,0,,QA:Insufficient Data(No information on site selection process) | QB:Insufficient Data(No environmental impact assessment available),A + B required for Improved,Conduct site selection process with environmental considerations; Perform environmental impact assessment,Site selection report; Environmental impact assessment,17617,1181,271.72,True,False,True
rag,2,00_sample_project,Climate And Resilience,CR2.2,Assess Climate Change Vulnerability,20,Applicable,Improved,8,,"QA:Likely Yes(Project location in Brownsville, PA, suggests potential climate change impacts) | QB:Insufficient Data(No climate change vulnerability assessment available)",A + B required for Improved,Conduct climate change vulnerability assessment,Climate change vulnerability assessment report,17617,1181,271.72,True,False,True
rag,2,00_sample_project,Climate And Resilience,CR2.3,Evaluate Risk and Resilience,26,Applicable,No Level,0,,QA:Insufficient Data(No risk assessment available) | QB:Insufficient Data(No critical functions and dependencies identified),A + B + C + D + E required for Conserving,Conduct risk assessment; Identify critical functions and dependencies,Risk assessment report; Critical functions and dependencies documentation,17617,1181,271.72,True,False,True
rag,2,00_sample_project,Climate And Resilience,CR2.4,Establish Resilience Goals and Strategies,20,Applicable,No Level,0,,QA:Insufficient Data(No project performance goals available) | QB:Insufficient Data(No risk management strategies developed),A + B required for Enhanced,Develop project performance goals; Establish risk management strategies,Project performance goals document; Risk management strategies report,17617,1181,271.72,True,False,True
rag,2,00_sample_project,Climate And Resilience,CR2.5,Maximize Resilience,26,Applicable,No Level,0,,QA:Insufficient Data(No resilience goals and strategies developed) | QB:Insufficient Data(No implementation of resilience strategies),A + B + C + D + E required for Conserving,Develop resilience goals and strategies; Implement resilience strategies,Resilience goals and strategies document; Implementation plan for resilience strategies,17617,1181,271.72,True,False,True
rag,2,00_sample_project,Climate And Resilience,CR2.6,Improve Infrastructure Integration,18,Applicable,No Level,0,,QA:Insufficient Data(No infrastructure integration assessment available) | QB:Insufficient Data(No beneficial integration of multiple infrastructure systems identified),A + B required for Improved,Conduct infrastructure integration assessment; Identify beneficial integration opportunities,Infrastructure integration assessment report; Beneficial integration opportunities documentation,17617,1181,271.72,True,False,True
rag,2,00_sample_project,Leadership,LD1.1,Provide Effective Leadership and Commitment,10,Applicable,Improved,2,,"QA:Likely Yes(Project team includes multiple stakeholders (Cartesian Inverse, PA; Etienne Oise) | QB:Insufficient Data(No information on sustainability goals or targets)",A + B required for Enhanced,Develop and document sustainability goals and targets,Sustainability management plan; Stakeholder engagement records,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD1.2,Foster Collaboration and Teamwork,8,Applicable,Improved,2,,"QA:Likely Yes(Multiple stakeholders involved in project team (Cartesian Inverse, PA; Etienne O) | QB:Insufficient Data(No information on collaboration or communication among team members)",A + B required for Enhanced,Establish communication plan and collaboration tools,Meeting minutes; Communication plan,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD1.3,Encourage Public Engagement and Participation,8,Applicable,No Level,0,,QA:Insufficient Data(No information on public engagement or participation) | QB:Insufficient Data(No information on community outreach or education),A + B required for Improved,Develop public engagement plan; Establish community outreach and education program,Public engagement plan; Community outreach records,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD1.4,Pursue Byproduct Synergies,10,Applicable,No Level,0,,QA:Insufficient Data(No information on byproduct synergies or waste reduction) | QB:Insufficient Data(No information on material reuse or recycling),A + B required for Improved,Investigate byproduct synergies and waste reduction opportunities; Develop plan for material reuse and recycling,Waste reduction plan; Material reuse and recycling records,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD2.1,Establish a Sustainability Management Plan,14,Applicable,No Level,0,,QA:Insufficient Data(No information on sustainability management plan) | QB:Insufficient Data(No information on monitoring and reporting),A + B required for Improved,Develop sustainability management plan; Establish monitoring and reporting protocols,Sustainability management plan; Monitoring and reporting records,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD2.2,Plan for Sustainable Communities,12,Applicable,No Level,0,,QA:Insufficient Data(No information on community planning or development) | QB:Insufficient Data(No information on social and economic benefits),A + B required for Improved,Develop community plan; Investigate social and economic benefits,Community plan; Social and economic benefit analysis,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD2.3,Conduct a Life-Cycle Economic Evaluation,10,Applicable,No Level,0,,QA:Insufficient Data(No information on life-cycle economic evaluation) | QB:Insufficient Data(No information on cost-benefit analysis),A + B required for Improved,Conduct life-cycle economic evaluation; Perform cost-benefit analysis,Life-cycle economic evaluation report; Cost-benefit analysis records,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD3.1,Develop a Comprehensive Cost Plan,12,Applicable,No Level,0,,QA:Insufficient Data(No information on comprehensive cost plan) | QB:Insufficient Data(No information on cost estimation and management),A + B required for Improved,Develop comprehensive cost plan; Establish cost estimation and management protocols,Comprehensive cost plan; Cost estimation and management records,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD3.2,Implement a Value Engineering Process,8,Applicable,No Level,0,,QA:Insufficient Data(No information on value engineering process) | QB:Insufficient Data(No information on cost savings or efficiency gains),A + B required for Improved,Implement value engineering process; Investigate cost savings and efficiency gains,Value engineering plan; Cost savings and efficiency gain records,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Leadership,LD3.3,Conduct a Life-Cycle Assessment,14,Applicable,No Level,0,,QA:Insufficient Data(No information on life-cycle assessment) | QB:Insufficient Data(No information on environmental impacts or social benefits),A + B required for Improved,Conduct life-cycle assessment; Investigate environmental impacts and social benefits,Life-cycle assessment report; Environmental impact and social benefit analysis,17191,2013,436.0,True,False,True
rag,2,00_sample_project,Natural World,NW1.1,Conserve Natural Areas,14,APPLICABLE,No Level,0,"The project is located in an area with potential natural habitats, and the credit's intent is to conserve these areas.",QA:Insufficient Data(No information on natural area conservation) | QB:Insufficient Data(No information on habitat restoration),A + B required for Improved,Conduct natural area assessment; Develop conservation plan,Natural area assessment report; Conservation plan,17916,1444,323.65,True,False,True
rag,2,00_sample_project,Natural World,NW1.2,Provide Wetland and Surface Water Buffers,10,APPLICABLE,No Level,0,"The project is located near a water body, and the credit's intent is to provide buffers for wetlands and surface waters.",QA:Insufficient Data(No information on buffer zones) | QB:Insufficient Data(No information on water quality monitoring),A + B required for Improved,Conduct wetland and surface water assessment; Develop buffer zone plan,Wetland and surface water assessment report; Buffer zone plan,17916,1444,323.65,True,False,True
rag,2,00_sample_project,Natural World,NW2.2,Manage Stormwater,24,APPLICABLE,No Level,0,"The project will impact stormwater runoff, and the credit's intent is to manage it.",QA:Insufficient Data(No information on stormwater management plan) | QB:Insufficient Data(No information on rate or quantity of runoff),A + B required for Improved,Develop stormwater management plan; Conduct rate and quantity analysis,Stormwater management plan; Rate and quantity analysis report,17916,1444,323.65,True,False,True
rag,2,00_sample_project,Natural World,NW2.4,Protect Surface and Groundwater Quality,14,APPLICABLE,No Level,0,"The project may impact surface and groundwater quality, and the credit's intent is to protect it.",QA:Insufficient Data(No information on water quality monitoring) | QB:Insufficient Data(No information on pollution prevention measures),A + B required for Improved,Conduct water quality monitoring; Develop pollution prevention plan,Water quality monitoring report; Pollution prevention plan,17916,1444,323.65,True,False,True
rag,2,00_sample_project,Natural World,NW3.3,Maintain Floodplain Functions,14,APPLICABLE,No Level,0,"The project is located in a floodplain, and the credit's intent is to maintain its functions.",QA:Insufficient Data(No information on floodplain assessment) | QB:Insufficient Data(No information on vegetated zone preservation),A + B required for Improved,Conduct floodplain assessment; Develop vegetated zone preservation plan,Floodplain assessment report; Vegetated zone preservation plan,17916,1444,323.65,True,False,True
rag,2,00_sample_project,Natural World,NW3.5,Protect Soil Health,10,APPLICABLE,No Level,0,"The project may impact soil health, and the credit's intent is to protect it.",QA:Insufficient Data(No information on soil assessment) | QB:Insufficient Data(No information on erosion control measures),A + B required for Improved,Conduct soil assessment; Develop erosion control plan,Soil assessment report; Erosion control plan,17916,1444,323.65,True,False,True
rag,2,00_sample_project,Quality Of Life,QL1.1,Improve Community Quality of Life,26,Applicable,Improved,2,"The project is a mixed-use development with residential, commercial, and community spaces, indicating potential for community quality of life improvements.",QA:Likely Yes(Project includes live/work units and community spaces.) | QB:Insufficient Data(Lack of information on community engagement and feedback mechanisms.),A + B required for Enhanced,Engage with local stakeholders to understand community needs and priorities.,Community engagement records; Stakeholder feedback mechanisms,17220,2524,535.64,True,False,True
